user_id,username,name,followers_count,following_count,account_age_days,description,created_at,profile_pic,verified,is_fake
U00000,johnsonjoshua,Noah Rhodes,312,365,162,Artist | SF | London | Creating beauty daily,2026-03-08 14:56:32,1,0,0
U00001,garzaanthony,David Guzman,392,780,2831,Artist | 🎵 | sports | Creating beauty daily,2018-11-16 14:56:32,1,0,0
U00002,jennifermiles,Jerry Ramirez,13,1283,9,fitness🎵Web3,2026-08-08 14:56:32,0,0,1
U00003,blakeerik,Donald Lewis,675,254,86,Travel blogger | 🔥 | Python | Living my best life,2026-05-23 14:56:32,1,0,0
U00004,curtis61,Gregory Baker,16,1042,2,Official giveaway account JavaScript,2026-08-15 14:56:32,1,0,1
U00005,blairamanda,Jamie Arnold,213,0,237,Artist | 💯 | 🎵 | Creating beauty daily,2025-12-23 14:56:32,1,0,0
U00006,barbara10,Patricia Galloway,11,259,382,Music lover | Berlin fan | React | Just vibes,2025-07-31 14:56:32,1,0,0
U00007,michellejames,Roy Martin,32,478,247,Teacher | NYC | Berlin | Education matters,2025-12-13 14:56:32,1,0,0
U00008,jason41,Carolyn Daniel,38,46,473,Photographer | SF | 💯 | DM for collabs,2025-05-01 14:56:32,1,0,0
U00009,stevennelson,Melissa Robinson,1337,343,1576,"Writer, reader, yoga lover | Based in SF",2022-04-24 14:56:32,1,0,0
U00010,megan03,Renee Morales,164,43,352,Fitness | books | 🎵 | Healthy living advocate,2025-08-30 14:56:32,1,0,0
U00011,clarksherri,Emily Rios,71,1236,13,Click link below for FREE NYC !!!,2026-08-04 14:56:32,1,0,1
U00012,pwilkerson,Derek Wright,68,249,289,music professional | Toronto | Views are my own,2025-11-01 14:56:32,1,0,0
U00013,julie69,Daniel Bright,8,1484,30,,2026-07-18 14:56:32,0,0,1
U00014,ddavis,Brittany Moore,60,863,1680,Teacher | 💯 | art | Education matters,2022-01-10 14:56:32,1,0,0
U00015,ycarlson,Zachary Rice,10,1039,10,Follow me I follow back Data Science,2026-08-07 14:56:32,0,0,1
U00016,frazierdanny,Nicole Mack,147,342,626,Music lover | 🚀 fan | sports | Just vibes,2024-11-29 14:56:32,1,0,0
U00017,daniel62,Troy Liu,266,83,686,Teacher | books | 🔥 | Education matters,2024-09-30 14:56:32,1,0,0
U00018,teresa28,Sheila Evans,763,1094,2500,📸 developer | Open source contributor | Tokyo,2019-10-13 14:56:32,1,0,0
U00019,ericfarmer,Paula Moreno,889,454,107,Teacher | coding | 🎵 | Education matters,2026-05-02 14:56:32,1,0,0
U00020,georgetracy,Jack Galloway,557,147,1453,"Mom/Dad of Berlin, coffee lover, 🔥 enthusiast",2022-08-25 14:56:32,1,0,0
U00021,john39,Angelica Tucker,25,725,24,Click link below for FREE movies !!!,2026-07-24 14:56:32,1,0,1
U00022,spenceamanda,Matthew Arroyo,141,795,21,Click link below for FREE 👨‍💻 !!!,2026-07-27 14:56:32,1,0,1
U00023,josephbrennan,Daniel Ryan,62,935,10,,2026-08-07 14:56:32,0,0,1
U00024,jenniferross,Jacqueline Lam,12,1374,30,Official giveaway account Paris,2026-07-18 14:56:32,0,0,1
U00025,omartinez,Alex Spencer,104,1466,2,DM me for exclusive deals! 🎵 design,2026-08-15 14:56:32,0,0,1
U00026,adrianzimmerman,Austin Johnson,42,322,2311,Travel blogger | Tokyo | 📸 | Living my best life,2020-04-19 14:56:32,1,0,0
U00027,chad34,Cindy Anderson,243,643,927,Music lover | fitness fan | Paris | Just vibes,2024-02-02 14:56:32,1,0,0
U00028,esanchez,Cheryl Davis,72,353,1589,📸 developer | Open source contributor | ✨,2022-04-11 14:56:32,1,0,0
U00029,agomez,Nicholas Nunez,29,1553,10,Follow for follow! NYC AI travel,2026-08-07 14:56:32,1,0,1
U00030,brownjessica,Ashley Lee,81,930,3,Follow for follow! travel 👨‍💻 London,2026-08-14 14:56:32,0,0,1
U00031,ltaylor,David Leblanc,133,650,2268,Travel blogger | 🎯 | London | Living my best life,2020-06-01 14:56:32,1,0,0
U00032,jmorton,Matthew Fernandez,255,238,839,"Mom/Dad of gaming, coffee lover, 🔥 enthusiast",2024-04-30 14:56:32,1,0,0
U00033,novaksara,Carol Tucker,255,784,281,Teacher | gaming | food | Education matters,2025-11-09 14:56:32,1,0,0
U00034,michellebarrera,Aaron Myers,140,791,507,fitness professional | 🎵 | Views are my own,2025-03-28 14:56:32,1,0,0
U00035,smitchell,Whitney Peters,2,605,1200,London developer | Open source contributor | travel,2023-05-05 14:56:32,1,0,0
U00036,smoore,Anthony Fitzgerald,169,325,2314,"Mom/Dad of food, coffee lover, 🎵 enthusiast",2020-04-16 14:56:32,1,0,0
U00037,adkinsbrian,Kathryn Farrell,170,0,1028,Travel blogger | Web3 | 🚀 | Living my best life,2023-10-24 14:56:32,1,0,0
U00038,brianromero,Andrea Jones,106,489,300,Travel blogger | ML | AI | Living my best life,2025-10-21 14:56:32,1,0,0
U00039,richarddavid,Lauren Williams,1362,270,1923,Student at 🔥 University | 🚀 | art,2021-05-12 14:56:32,1,0,0
U00040,barnesbrandy,Taylor Harris,20,1136,2,,2026-08-15 14:56:32,0,0,1
U00041,john62,Elizabeth Stewart,78,525,265,Fitness | 🎯 | 👨‍💻 | Healthy living advocate,2025-11-25 14:56:32,1,0,0
U00042,smithchristine,Ariel Medina,843,464,292,Music lover | sports fan | movies | Just vibes,2025-10-29 14:56:32,1,0,0
U00043,david51,Jaclyn Moore,16,1294,10,musicsportsWeb3,2026-08-07 14:56:32,1,0,1
U00044,cheryl80,Kristen Huynh,171,642,1355,Student at yoga University | Toronto | London,2022-12-01 14:56:32,1,0,0
U00045,mcmillandennis,Brian Tran,131,1107,1,Click link below for FREE 💯 !!!,2026-08-16 14:56:32,1,0,1
U00046,juan35,Mark Baker,407,335,469,"Mom/Dad of 🎵, coffee lover, yoga enthusiast",2025-05-05 14:56:32,1,0,0
U00047,dking,Jeff Hill,44,1089,12,DM me for exclusive deals! React Berlin,2026-08-05 14:56:32,0,0,1
U00048,cookdavid,Candice Ramos,231,465,2941,Student at 📸 University | AI | Paris,2018-07-29 14:56:32,1,0,0
U00049,hhoffman,Stephen Mckee,0,403,9,,2026-08-08 14:56:32,0,0,1
U00050,davenportbrandi,Cameron Parker,249,301,922,Artist | Python | yoga | Creating beauty daily,2024-02-07 14:56:32,1,0,0
U00051,nolanjason,Brian Deleon,96,513,2130,Tokyo developer | Open source contributor | food,2020-10-17 14:56:32,1,0,0
U00052,vdickson,Timothy Hancock,115,453,1193,Software engineer passionate about AI and Python,2023-05-12 14:56:32,1,0,0
U00053,nicolejohnson,Evelyn Galvan,7,164,1132,Travel blogger | ✨ | 🔥 | Living my best life,2023-07-12 14:56:32,1,0,0
U00054,josephcobb,Shane Garrison,285,1621,10,,2026-08-07 14:56:32,1,0,1
U00055,jamessellers,Robert Savage,8,393,231,Student at React University | music | JavaScript,2025-12-29 14:56:32,1,0,0
U00056,andrewlee,Sean Rasmussen,26,1230,4,Official giveaway account Web3,2026-08-13 14:56:32,1,0,1
